Year,Month,Payment Instrument Type,Card Type,Response,Transaction ID
2023,01,Credit Card,MasterCard,Approved,1kfc09td
2023,01,PayPal Account,PayPal Account,Approved,2nqqasf7
2023,01,PayPal Account,PayPal Account,Approved,2wgna3xh
2023,01,PayPal Account,PayPal Account,Approved,3fbck9xw
2023,01,Credit Card,American Express,Approved,4jpxgf2m
2023,01,Credit Card,American Express,Approved,5vrvyp6g
2023,01,Credit Card,American Express,Approved,6cmynyfq
2023,01,Credit Card,American Express,Approved,6dq118yd
2023,01,Credit Card,American Express,Approved,6edhfffz
2023,01,Credit Card,American Express,Approved,6f3cs90s
2023,01,Credit Card,Visa,Approved,6mxv9phv
2023,01,Credit Card,American Express,Approved,6sazarwq
2023,01,PayPal Account,PayPal Account,Approved,763ne5nj
2023,01,PayPal Account,PayPal Account,Approved,7x61weby
2023,01,Credit Card,American Express,Approved,8dqfqw88
2023,01,Credit Card,American Express,Approved,bdtmm73t
2023,01,PayPal Account,PayPal Account,Approved,c41txtr4
2023,01,Credit Card,MasterCard,Declined,cf01dg8y
2023,01,PayPal Account,PayPal Account,Approved,cjgkmh0r
2023,01,Credit Card,American Express,Approved,ck9sx36q
2023,01,Credit Card,American Express,Approved,cn9cwwxj
2023,01,PayPal Account,PayPal Account,Approved,czrhmwp3
2023,01,Credit Card,American Express,Approved,dmqe0c67
2023,01,Credit Card,MasterCard,Declined,e9twq7tr
2023,01,Credit Card,American Express,Approved,ee467pw0
2023,01,Credit Card,American Express,Approved,ez3v29bx
2023,01,Credit Card,American Express,Approved,f1xfmbdp
2023,01,Credit Card,American Express,Approved,h8cdmg9z
2023,01,PayPal Account,PayPal Account,Approved,h9b825cz
2023,01,PayPal Account,PayPal Account,Approved,hbk3pbzc
2023,01,Apple Pay Card,American Express,Approved,hmhfr73q
2023,01,PayPal Account,PayPal Account,Approved,ht8vm2h9
2023,01,Credit Card,MasterCard,Declined,j0s923mj
2023,01,PayPal Account,PayPal Account,Approved,kx3y7j5f
2023,01,Credit Card,American Express,Approved,kx5npbym
2023,01,PayPal Account,PayPal Account,Approved,nah7tpyr
2023,01,Credit Card,American Express,Approved,nd7sr6x1
2023,01,Credit Card,Visa,Approved,nfhm8av8
2023,01,Credit Card,American Express,Approved,nnndezz5
2023,01,Credit Card,American Express,Approved,pp7snctp
2023,01,Credit Card,MasterCard,Declined,q58m5a4m
2023,01,Credit Card,American Express,Approved,qe19dc1p
2023,01,Credit Card,American Express,Approved,qtydt3rc
2023,01,PayPal Account,PayPal Account,Declined,r9y0nrmx
2023,01,Credit Card,American Express,Approved,082fgxm4
2023,01,Credit Card,Visa,Approved,0geecp4c
2023,01,Credit Card,Visa,Approved,15z5ase3
2023,01,Credit Card,American Express,Approved,173a2spr
2023,01,Credit Card,Visa,Approved,2tjbh7xf
2023,01,Credit Card,Visa,Approved,2zj5zhpy
2023,01,Credit Card,American Express,Declined,44c7117v
2023,01,Credit Card,American Express,Approved,4dme70qd
2023,01,Credit Card,American Express,Approved,4dp01nek
2023,01,PayPal Account,PayPal Account,Approved,5933sa35
2023,01,PayPal Account,PayPal Account,Approved,685z4vzd
2023,01,Credit Card,American Express,Approved,6d8yw9gf
2023,01,Credit Card,Visa,Approved,8rscvjzb
2023,01,PayPal Account,PayPal Account,Approved,8yv58cne
2023,01,Credit Card,American Express,Approved,95vj3rax
2023,01,Credit Card,American Express,Approved,9n9jfm7t
2023,01,Credit Card,Visa,Approved,9x6p27qv
2023,01,Credit Card,American Express,Approved,a4ycpvh3
2023,01,Credit Card,MasterCard,Declined,a5n7d8jc
2023,01,Credit Card,Visa,Approved,bvsre1j5
2023,01,Credit Card,Visa,Approved,bzt52mzy
2023,01,Credit Card,MasterCard,Declined,ckk5r0e1
2023,01,Credit Card,American Express,Approved,e8ss3676
2023,01,Credit Card,Visa,Approved,enx1pazw
2023,01,Credit Card,American Express,Approved,f267d7gw
2023,01,Credit Card,American Express,Approved,fb4s99zn
2023,01,PayPal Account,PayPal Account,Declined,fkx5y2dc
2023,01,Credit Card,American Express,Approved,fz2d1apz
2023,01,Credit Card,American Express,Approved,gab2xbqq
2023,01,Credit Card,American Express,Approved,gb95dgq1
2023,01,Credit Card,American Express,Approved,gczejh89
2023,01,Credit Card,American Express,Approved,gg31z2dc
2023,01,Credit Card,Visa,Approved,gjqem25v
2023,01,Apple Pay Card,American Express,Approved,gsa0tz89
2023,01,Credit Card,American Express,Approved,h5jj0hpw
2023,01,Credit Card,American Express,Approved,jgqn5q9a
2023,01,Credit Card,Visa,Approved,jm5kbfkj
2023,01,PayPal Account,PayPal Account,Approved,k1pqx2w1
2023,01,Credit Card,American Express,Approved,k33q7d1s
2023,01,Credit Card,American Express,Approved,kr7f3r11
2023,01,Credit Card,American Express,Approved,kz3m4hz0
2023,01,PayPal Account,PayPal Account,Approved,mngabvj2
2023,01,Credit Card,American Express,Approved,n22ma5hh
2023,01,Credit Card,American Express,Approved,n2hrq5aq
2023,01,Credit Card,American Express,Approved,ngva3qj7
2023,01,Credit Card,American Express,Approved,nm5sft2b
2023,01,Credit Card,American Express,Approved,ntjypx82
2023,01,PayPal Account,PayPal Account,Approved,p0p83026
2023,01,Credit Card,American Express,Approved,p2hm5zn7
2023,01,PayPal Account,PayPal Account,Approved,pd4zp2eh
